ID,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function.,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
5,1,93.26,50,1,25.77,1,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0,100,100,0,0,0,0,0,0,0,0,0,0
9,14,99,50,52.86,1,14,0,85.71,50,0,0,0,0,0,0,0,0,21.43,14.29,7.14,0,7.14,0,14.29,0,0,0,0,0,7.14,0,7.14,0,0,0,7.14,0,0,0,7.14,7.14,0,0,7.14,7.14,0,7.14,0,0,0,0,0,0,0,0,0,7.14,0,0,7.14,0,0,0,7.14,7.14,21.43,14.29,7.14,0,0,0,0,0,7.14,0,0,0,0,0,0,0,7.14,7.14,0,0,0,0,0,0,0,0,0,0
17,40,45.59,89.42,7.84,1,13.33,12.5,72.5,42.5,10,10,2.5,2.5,0,0,5,0,0,12.5,7.5,5,10,2.5,20,0,0,0,0,2.5,5,0,5,0,0,0,15,0,0,0,0,10,2.5,2.5,5,0,0,0,0,0,0,0,5,0,5,0,0,7.5,2.5,0,5,0,0,0,15,0,12.5,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,5,0,0,0,0,5,0,0,0,0,2.5
19,26,54.88,77.92,5.76,1,6.5,3.85,80.77,50,7.69,7.69,0,7.69,0,0,0,0,7.69,7.69,15.38,3.85,0,7.69,26.92,0,0,0,3.85,0,7.69,0,7.69,0,0,0,11.54,0,0,0,0,19.23,7.69,3.85,7.69,0,0,3.85,0,0,0,0,3.85,0,3.85,0,0,11.54,7.69,0,3.85,0,0,0,19.23,3.85,7.69,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,15.38,15.38,0,0,0,0,0,0,0,0,0,0
22,6,1,4.8,1,1,6,33.33,83.33,66.67,16.67,0,0,0,0,0,0,16.67,0,0,16.67,0,16.67,16.67,16.67,0,0,0,0,0,16.67,0,16.67,0,0,16.67,0,0,0,0,0,16.67,0,16.67,0,0,0,0,16.67,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,16.67,0,0,0,0,0,0,0,0,0,0
29,30,62.04,63.05,23.51,1.03,10,10,86.67,50,10,10,3.33,3.33,0,0,3.33,0,6.67,10,16.67,3.33,0,3.33,26.67,0,0,0,6.67,0,3.33,0,3.33,0,0,0,10,3.33,0,0,0,20,10,6.67,6.67,0,0,3.33,0,0,0,0,3.33,0,3.33,0,0,10,6.67,0,3.33,0,0,0,23.33,0,6.67,0,6.67,0,0,3.33,3.33,0,6.67,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0
40,7,68.29,50,1,25.77,7,14.29,85.71,42.86,0,0,0,0,0,0,0,0,0,14.29,0,0,14.29,14.29,28.57,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,28.57,0,14.29,14.29,0,0,0,0,0,0,0,14.29,0,14.29,0,0,0,0,0,0,0,0,0,28.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,14.29,0,0,0,0,0,0,0,0,0,0
43,52,74.94,50,74.76,1,10.4,17.31,76.92,53.85,9.62,5.77,1.92,3.85,0,0,0,3.85,11.54,9.62,15.38,0,5.77,1.92,13.46,0,0,0,3.85,0,3.85,0,3.85,0,0,0,3.85,0,0,0,0,17.31,7.69,7.69,1.92,1.92,0,3.85,0,0,0,0,0,0,0,0,0,9.62,3.85,1.92,3.85,0,0,0,13.46,1.92,13.46,3.85,7.69,1.92,0,0,0,0,1.92,0,0,0,0,0,0,0,9.62,9.62,0,0,0,0,0,0,0,0,0,0
57,39,36.88,97.98,46.75,1,9.75,17.95,74.36,53.85,17.95,17.95,5.13,0,12.82,0,0,0,5.13,12.82,12.82,5.13,7.69,0,20.51,0,0,0,0,0,10.26,0,10.26,0,5.13,0,12.82,0,0,0,0,12.82,5.13,2.56,5.13,0,0,0,0,0,0,0,0,0,0,0,0,10.26,0,0,7.69,2.56,0,0,12.82,0,15.38,0,15.38,0,0,0,0,0,0,2.56,0,0,0,0,0,0,12.82,10.26,0,0,0,0,0,0,0,2.56,0,0
59,17,42.68,27.83,6.2,1,8.5,11.76,76.47,58.82,17.65,11.76,5.88,0,0,0,5.88,5.88,11.76,5.88,11.76,0,5.88,5.88,17.65,0,0,0,0,0,11.76,0,11.76,0,5.88,0,5.88,0,0,0,0,17.65,5.88,5.88,5.88,0,0,0,0,0,0,0,0,0,0,0,0,5.88,0,0,5.88,0,0,0,5.88,5.88,5.88,0,5.88,0,0,0,0,0,0,5.88,0,0,0,0,0,0,11.76,11.76,0,0,0,0,0,0,0,0,0,0
